id_bien;surface_carrez;type_local;surface_reelle;nombre_pieces;surface_terrain;voie;commune_id
15254;50.95;Appartement;49;2;;DE L ARTISANAT;1988
15255;85.45;Appartement;84;3;;DE PARIS;1980
15256;43.75;Appartement;48;2;;EDOUARD MILLAUD;1979
15257;61.64;Appartement;64;3;;DE LYON;1996
15258;68.35;Appartement;53;3;;DE LA GIRAUDIERE;1998
15259;175.33;Maison;197;6;;DU HUIT MAI 1945;1980
15260;71.6;Appartement;76;3;;CENTRALE;1979
15261;48.87;Appartement;49;2;;DES HERMIERES;1975
15262;94.08;Appartement;68;3;;DE VERDUN;1979
15263;41.33;Appartement;41;2;;DES HERMIERES;1975
15264;70.32;Appartement;73;3;;DE LA REPUBLIQUE;1980
15265;52.46;Appartement;53;3;;EMILE FOURNIER;1985
15266;117.82;Appartement;104;4;;DE GARGANTUA;1978
15267;18.17;Appartement;22;1;;PLACE DE L'EGLISE;1978
15268;59.09;Appartement;57;3;;GRANDE RUE;1975
15269;72.17;Appartement;72;3;;GABRIEL PERI;1985
15270;47.72;Appartement;51;3;;DE NELY;1999
15271;81.2;Appartement;84;4;;DE LA CROIX DU BAN;2000
15272;60.13;Appartement;56;3;;DE L ETANG;1977
15273;59.23;Appartement;60;3;;DE LA REPUBLIQUE;1986
15274;51.96;Appartement;52;2;;DU MARCHE;1991
15275;66;Appartement;70;4;;DE L EGLISE;1984
15276;36.91;Appartement;37;1;;MARCEL MERIEUX;1983
15277;77.6;Appartement;78;4;;DE LA CROIX DU BAN;2000
15278;62.54;Appartement;62;3;;CENTRALE;1979
15279;69.4;Appartement;69;3;;DU NORD;1980
15280;40.92;Appartement;40;2;;GAMBETTA;1996
15281;82.51;Appartement;82;3;;DE LA RAUDE;1980
15282;57.09;Appartement;56;2;;DE LA MAIRIE;2001
15283;34.45;Appartement;37;2;;DES PIERRES PLANTEES;1990
15284;67.6;Appartement;66;3;;FRANCOIS MERMET;1980
15285;58.6;Appartement;55;2;;CENTRALE;1979
15286;54.6;Appartement;58;2;;FRANCOIS MERMET;1980
15287;53.8;Appartement;54;2;;DU VALLONNET;1990
15288;60.91;Maison;51;3;;DE LA CITE;2002
15289;97.49;Appartement;96;4;;CHARLES DE GAULLE;1980
15290;17.2;Appartement;17;1;;GEORGES CLEMENCEAU;1980
15291;77.91;Appartement;78;3;;DU PUITS;1991
15292;105.02;Appartement;120;5;;EDOUARD PAYEN;1977
15293;69.65;Appartement;69;4;;DE LA REPUBLIQUE;1986
15294;72.17;Appartement;70;2;;PASTEUR;2003
15295;101.58;Maison;100;4;;DU PROFESSEUR DEPERET;1980
15296;72.09;Appartement;71;3;;DES BRUYERES;2004
15297;61.72;Appartement;60;3;;DE LA CONSTELLATION;1980
15298;76.35;Appartement;78;3;;PASTEUR;1986
15299;96.25;Appartement;95;3;;DU HUIT MAI 1945;1980
